Dimension1,Dimension2
-1.855,-1.532
-0.687,-1.617
0.436,-1.633
1.331,-1.647
-1.615,-0.469
-0.531,-0.558
0.500,-0.590
1.373,-0.535
-1.522,0.657
-0.395,0.518
0.648,0.469
1.513,0.481
-1.427,1.770
-0.301,1.639
0.767,1.541
1.764,1.512
